"Ticker","date","Open","High","Low","Close","Volume","Adj.Close","Dollar.chg","Pct.chg","Volatility","RISE","favoriteCount","retweetCount","Score","Positive","Negative","Tweet_Total_Count"
"A","2017-03-20",53.310001,53.630001,53,53.150002,1192800,53.150002,-0.159998999999999,-0.00300129425996445,0.0118532639001594,0,61,9,-3,13,16,73
"A","2017-03-21",53.279999,53.73,52.48,52.66,1487900,52.66,-0.619999,-0.0116366180862729,0.0237371819217622,0,5,142,-4,9,13,66
"A","2017-03-22",52.790001,53.470001,52.650002,53.130001,1255400,53.130001,0.340000000000003,0.0064406136306003,0.0154338224085485,1,10,12,5,12,7,58
"A","2017-03-23",53.040001,53.779999,52.720001,53.18,1703300,53.18,0.139999000000003,0.00263949844194013,0.0199322677698382,1,15,9,3,18,15,58
"A","2017-03-27",52.599998,53.34,52.419998,53.240002,1446500,53.240002,0.640003999999998,0.0121673768884934,0.01728027733733,1,15,132,1,11,10,52
"AAL","2017-03-20",42.18,42.419998,41.450001,41.700001,6163900,41.700001,-0.479998999999999,-0.0113797771455666,0.0232613183870187,0,38,32,13,17,4,44
"AAL","2017-03-21",41.880001,41.98,40.34,40.419998,7880900,40.419998,-1.460003,-0.0348615798743653,0.0405739752881728,0,33,47,8,17,9,54
"AAL","2017-03-22",39.779999,40.549999,39.209999,40.349998,9909300,40.349998,0.569999000000003,0.0143287836683958,0.0332094192421025,1,61,79,-5,43,48,201
"AAL","2017-03-23",40.700001,41.860001,40.48,41.41,9470300,41.41,0.709998999999996,0.0174446924460763,0.0333253078966433,1,47,46,11,25,14,106
"AAL","2017-03-27",41.07,41.889999,40.560001,41.740002,6050500,41.740002,0.670001999999997,0.0163136596055514,0.0318638700592301,1,18,43,9,23,14,95
"AAP","2017-03-20",152.949997,154.229996,151.860001,152.440002,1051400,152.379516,-0.570481000000001,-0.00372985296626061,0.0155532387962171,0,0,0,2,2,0,5
"AAP","2017-03-21",152.539993,152.830002,150.639999,151.220001,1061900,151.159999,-1.37999400000001,-0.00904676847598918,0.0144879797200847,0,34,16,-2,6,8,25
"AAP","2017-03-22",151.600006,152.059998,150.460007,151.270004,661400,151.270004,-0.330002000000007,-0.00217679410909791,0.0105770539941284,0,3,5,1,1,0,6
"AAP","2017-03-23",151.300003,152.380005,150.119995,150.779999,653100,150.779999,-0.520004,-0.00343690673951937,0.0149887917163338,0,10,14,1,1,0,9
"AAP","2017-03-27",148.5,148.770004,146.179993,147.800003,769900,147.800003,-0.699996999999996,-0.00471378451178449,0.017523754718733,0,1,4,-4,0,4,9
"AAPL","2017-03-20",140.399994,141.5,140.229996,141.460007,20213100,141.460007,1.060013,0.00754995046509758,0.00897783074477015,1,1097,1776,161,414,253,1500
"AAPL","2017-03-21",142.110001,142.800003,139.729996,139.839996,39116800,139.839996,-2.270005,-0.0159735766942961,0.021953712012406,0,1037,1863,166,462,296,1500
"AAPL","2017-03-22",139.850006,141.600006,139.759995,141.419998,25787600,141.419998,1.56999199999998,0.0112262562219696,0.0130109675153581,1,682,1777,138,485,347,1444
"AAPL","2017-03-23",141.259995,141.580002,140.610001,140.919998,20285700,140.919998,-0.339997000000011,-0.00240688809312227,0.00688334525806619,0,885,1919,72,323,251,1340
"AAPL","2017-03-27",139.389999,141.220001,138.619995,140.880005,23493200,140.880005,1.49000600000002,0.0106894756488234,0.0184554649895136,1,1022,2908,103,356,253,1500
"ABBV","2017-03-20",65.779999,66.010002,65.559998,65.800003,4252100,65.800003,0.0200040000000001,0.00030410459568417,0.00683896625354268,1,7,36,2,6,4,39
"ABBV","2017-03-21",65.959999,66,65.040001,65.349998,5187400,65.349998,-0.610000999999997,-0.00924804440946091,0.0146901152162238,0,72,74,8,17,9,62
